playerid,birthyear,birthcountry,deathyear,namefirst,namelast,weight,height,bats,throws
aardsda01,1981.0,USA,,David,Aardsma,215.0,75.0,R,R
aaronha01,1934.0,USA,,Hank,Aaron,180.0,72.0,R,R
aaronto01,1939.0,USA,1984.0,Tommie,Aaron,190.0,75.0,R,R
aasedo01,1954.0,USA,,Don,Aase,190.0,75.0,R,R
abadan01,1972.0,USA,,Andy,Abad,184.0,73.0,L,L
abadfe01,1985.0,D.R.,,Fernando,Abad,220.0,73.0,L,L
abadijo01,1850.0,USA,1905.0,John,Abadie,192.0,72.0,R,R
abbated01,1877.0,USA,1957.0,Ed,Abbaticchio,170.0,71.0,R,R
abbeybe01,1869.0,USA,1962.0,Bert,Abbey,175.0,71.0,R,R
abbeych01,1866.0,USA,1926.0,Charlie,Abbey,169.0,68.0,L,L
abbotda01,1862.0,USA,1930.0,Dan,Abbott,190.0,71.0,R,R
abbotfr01,1874.0,USA,1935.0,Fred,Abbott,180.0,70.0,R,R
abbotgl01,1951.0,USA,,Glenn,Abbott,200.0,78.0,R,R
abbotje01,1972.0,USA,,Jeff,Abbott,190.0,74.0,R,L
abbotji01,1967.0,USA,,Jim,Abbott,200.0,75.0,L,L
abbotku01,1969.0,USA,,Kurt,Abbott,180.0,71.0,R,R
abbotky01,1968.0,USA,,Kyle,Abbott,200.0,76.0,L,L
abbotod01,1886.0,USA,1933.0,Ody,Abbott,165.0,69.0,L,R
abbotpa01,1967.0,USA,,Paul,Abbott,185.0,75.0,R,R
aberal01,1927.0,USA,1993.0,Al,Aber,195.0,74.0,L,L
abercda01,1850.0,USA,1939.0,Frank,Abercrombie,,,,
abercre01,1980.0,USA,,Reggie,Abercrombie,215.0,75.0,R,R
abernbi01,1929.0,USA,2006.0,Bill,Abernathie,190.0,70.0,R,R
abernbr01,1977.0,USA,,Brent,Abernathy,185.0,73.0,R,R
abernte01,1921.0,USA,2001.0,Ted,Abernathy,210.0,74.0,R,L
abernte02,1933.0,USA,2004.0,Ted,Abernathy,215.0,76.0,R,R
abernwo01,1915.0,USA,1994.0,Woody,Abernathy,170.0,72.0,L,L
aberscl01,1921.0,USA,1973.0,Cliff,Aberson,200.0,72.0,R,R
ablesha01,1883.0,USA,1951.0,Harry,Ables,200.0,74.0,R,L
abnersh01,1966.0,USA,,Shawn,Abner,190.0,73.0,R,R
abramca01,1924.0,USA,1997.0,Cal,Abrams,185.0,72.0,L,L
abramge01,1899.0,USA,1986.0,George,Abrams,170.0,69.0,R,R
abregjo01,1962.0,USA,,Johnny,Abrego,185.0,72.0,R,R
abreubo01,1974.0,Venezuela,,Bobby,Abreu,220.0,72.0,L,R
abreujo01,1913.0,USA,1993.0,Joe,Abreu,160.0,68.0,R,R
abreujo02,1987.0,Cuba,,Jose,Abreu,255.0,75.0,R,R
abreuju01,1985.0,D.R.,,Juan,Abreu,185.0,72.0,R,R
abreuto01,1984.0,D.R.,,Tony,Abreu,200.0,70.0,B,R
abreuwi01,1977.0,D.R.,,Winston,Abreu,170.0,74.0,R,R
abstebi01,1883.0,USA,1940.0,Bill,Abstein,185.0,72.0,R,R
accarje01,1981.0,USA,,Jeremy,Accardo,195.0,72.0,R,R
aceveal01,1982.0,Mexico,,Alfredo,Aceves,205.0,74.0,R,R
acevejo01,1977.0,D.R.,,Jose,Acevedo,185.0,72.0,R,R
aceveju01,1970.0,Mexico,,Juan,Acevedo,245.0,74.0,R,R
achteaj01,1988.0,USA,,A. J.,Achter,215.0,77.0,R,R
ackerji01,1958.0,USA,,Jim,Acker,210.0,74.0,R,R
ackerto01,1930.0,USA,,Tom,Acker,215.0,76.0,R,R
ackledu01,1988.0,USA,,Dustin,Ackley,205.0,73.0,L,R
acklefr01,1937.0,USA,2002.0,Fritz,Ackley,202.0,73.0,L,R
acostcy01,1946.0,Mexico,,Cy,Acosta,165.0,70.0,R,R
acosted01,1944.0,Panama,,Ed,Acosta,215.0,77.0,B,R
acostjo01,1891.0,Cuba,1977.0,Jose,Acosta,134.0,66.0,R,R
acostma01,1981.0,Panama,,Manny,Acosta,215.0,76.0,R,R
acostme01,1896.0,Cuba,1963.0,Merito,Acosta,140.0,67.0,L,L
acrema01,1968.0,USA,,Mark,Acre,235.0,80.0,R,R
actama99,1969.0,D.R.,,Manny,Acta,172.0,74.0,R,R
adairbi99,1913.0,USA,2002.0,Bill,Adair,168.0,72.0,R,R
adairje01,1936.0,USA,1987.0,Jerry,Adair,175.0,72.0,R,R
adairji01,1907.0,USA,1982.0,Jimmy,Adair,154.0,70.0,R,R
adamecr01,1991.0,D.R.,,Cristhian,Adames,185.0,72.0,B,R
adamsac01,1910.0,USA,2006.0,Ace,Adams,182.0,70.0,R,R
